"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"proje_q";"projeQ";"1203804113084960768";"1221219414164459521";"/proje_q/status/1221219414164459521";"2020-01-25 23:52:52";1579996372;"klo ga di manipulasi cuaca dari pusat dijatuhin ujannya di laut tiap hari jakarta banjir keujanan.gtu gaya2n padahal masih butuh wewenang pusat...";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">klo ga di manipulasi cuaca dari pusat dijatuhin ujannya di laut tiap hari <strong>jakarta</strong> <strong>banjir</strong> keujanan.gtu gaya2n padahal masih butuh wewenang pusat...</p>";"[]";"[]";False;"[]";"";0;0;1;True;True;"1221076436951470080";"[{'screen_name': 'SuddenD01990860', 'user_id': '1026108578522836992'}, {'screen_name': 'iamkevinregardy', 'user_id': '2613066048'}]"
"AdheAyyub";"Rezim Gaduh";"1023058239921913856";"1221218498489118721";"/AdheAyyub/status/1221218498489118721";"2020-01-25 23:49:13";1579996153;"Viral Video Monas Banjir, Dinas SDA DKI Jakarta: Hoax
https://metro.tempo.co/amp/1299421/viral-video-monas-banjir-dinas-sda-dki-jakarta-hoax#click=https://t.co/trCeg2vjEZ …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Viral Video Monas <strong>Banjir</strong>, Dinas SDA DKI <strong>Jakarta</strong>: Hoax
<a class=""twitter-timeline-link"" data-expanded-url=""https://metro.tempo.co/amp/1299421/viral-video-monas-banjir-dinas-sda-dki-jakarta-hoax#click=https://t.co/trCeg2vjEZ"" dir=""ltr"" href=""https://t.co/E0ASBHg7fG"" rel=""nofollow noopener"" target=""_blank"" title=""https://metro.tempo.co/amp/1299421/viral-video-monas-banjir-dinas-sda-dki-jakarta-hoax#click=https://t.co/trCeg2vjEZ""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">metro.tempo.co/amp/1299421/vi</span><span class=""invisible"">ral-video-monas-banjir-dinas-sda-dki-jakarta-hoax#click=https://t.co/trCeg2vjEZ</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://metro.tempo.co/amp/1299421/viral-video-monas-banjir-dinas-sda-dki-jakarta-hoax#click=https://t.co/trCeg2vjEZ']";"['click']";False;"[]";"";0;0;0;False;False;"";"[]"
"247sleepyaf";"saffa";"826300140";"1221218341588590592";"/247sleepyaf/status/1221218341588590592";"2020-01-25 23:48:36";1579996116;"pengen ngomel gini juga tapi ga kuat nunggu balesannya kaya menunggu jakarta bebas banjir anying lila pisan https://twitter.com/gnicuk/status/1221095608963883008 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""in"">pengen ngomel gini juga tapi ga kuat nunggu balesannya kaya menunggu <strong>jakarta</strong> bebas <strong>banjir</strong> anying lila pisan <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/gnicuk/status/1221095608963883008"" dir=""ltr"" href=""https://t.co/4hDOemME8c"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/gnicuk/status/1221095608963883008""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/gnicuk/status/</span><span class=""invisible"">1221095608963883008</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/gnicuk/status/1221095608963883008']";"[]";False;"[]";"";0;0;1;True;False;"";"[]"
"Mirara21";"Mira Karmila";"1181910404269629442";"1221217124615475200";"/Mirara21/status/1221217124615475200";"2020-01-25 23:43:46";1579995826;"Jan sepik ya kau, aku udah liat dengan mata kaki ku. Kau berjalan bersanding bergenggaman berpelukan mesra bersamanya, kau pikir aku buta. Aku hancur, dia masa lalu mu kembali menyandingi dirimu. Aku hanya serpihatan batu koral yang hanyut terbawa arus banjir jakarta";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Jan sepik ya kau, aku udah liat dengan mata kaki ku. Kau berjalan bersanding bergenggaman berpelukan mesra bersamanya, kau pikir aku buta. Aku hancur, dia masa lalu mu kembali menyandingi dirimu. Aku hanya serpihatan batu koral yang hanyut terbawa arus <strong>banjir</strong> <strong>jakarta</strong></p>";"[]";"[]";False;"[]";"";0;0;2;True;True;"1219818197936771072";"[{'screen_name': 'Khrisna12Krisna', 'user_id': '1625124139'}, {'screen_name': 'seventhelucky', 'user_id': '509903565'}]"
"Johan26824991";"Johan";"1132746790015459328";"1221214180457381889";"/Johan26824991/status/1221214180457381889";"2020-01-25 23:32:04";1579995124;"Baci tebar fitnah ngehoax, ga fitnah ga makan, foto banjir Villa Nusa Indah dijadikan hasutan fitnah Gubernur DKI Jakarta, Bacin bin bani TOGOG bin GuoblOG luh tau ga Villa Nusa iti Di Bekasi pic.twitter.com/sm6PslPLH7";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Baci tebar fitnah ngehoax, ga fitnah ga makan, foto <strong>banjir</strong> Villa Nusa Indah dijadikan hasutan fitnah Gubernur DKI <strong>Jakarta</strong>, Bacin bin bani TOGOG bin GuoblOG luh tau ga Villa Nusa iti Di Bekasi <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/sm6PslPLH7"">pic.twitter.com/sm6PslPLH7</a></p>";"[]";"[]";True;"['https://pbs.twimg.com/media/EPKf0QlU0AEGQbK.jpg']";"";0;0;0;False;True;"1220834426097025024";"[{'screen_name': 'AchmadRomeli', 'user_id': '313061676'}, {'screen_name': 'ChristWamea', 'user_id': '986263636179017728'}]"
"jojoisluv";"jjjj";"785352262197518337";"1221212031962898432";"/jojoisluv/status/1221212031962898432";"2020-01-25 23:23:32";1579994612;"Waktu itu udah pernah kan pas banjir Jakarta? Terus sekarang masih diulang lagi, empatinya bener-bener udah ilang ini orang. Blocked. https://twitter.com/pardedereza/status/1220907953445752833 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""in"">Waktu itu udah pernah kan pas <strong>banjir</strong> <strong>Jakarta</strong>? Terus sekarang masih diulang lagi, empatinya bener-bener udah ilang ini orang. Blocked. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/pardedereza/status/1220907953445752833"" dir=""ltr"" href=""https://t.co/7ZYn89ZXHc"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/pardedereza/status/1220907953445752833""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/pardedereza/st</span><span class=""invisible"">atus/1220907953445752833</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/pardedereza/status/1220907953445752833']";"[]";False;"[]";"";0;0;1;True;False;"";"[]"
"sadlilgal";"chaula";"492080244";"1221211581683363842";"/sadlilgal/status/1221211581683363842";"2020-01-25 23:21:44";1579994504;"mau nangis gak si lo 2020 gini amat
kebakaran australia
banjir jakarta
trump mau dilengserkan
terus skrg virus corona
ini baru awal taun ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">mau nangis gak si lo 2020 gini amat
kebakaran australia
<strong>banjir</strong> <strong>jakarta</strong>
trump mau dilengserkan
terus skrg virus corona
ini baru awal taun <img alt=""😭"" aria-label=""Emoji: Wajah menangis kencang"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Wajah menangis kencang""/><img alt=""😭"" aria-label=""Emoji: Wajah menangis kencang"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Wajah menangis kencang""/><img alt=""😭"" aria-label=""Emoji: Wajah menangis kencang"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Wajah menangis kencang""/></p>";"[]";"[]";False;"[]";"";1;0;0;False;False;"";"[]"
"fadlilagozhila";"@fadlilah";"1102918715610357760";"1221211344738762753";"/fadlilagozhila/status/1221211344738762753";"2020-01-25 23:20:48";1579994448;"Perasaan dl jg ada yg janji klo jd presiden Jakarta bebas banjir... ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Perasaan dl jg ada yg janji klo jd presiden <strong>Jakarta</strong> bebas <strong>banjir</strong>... <img alt=""😜"" aria-label=""Emoji: Winking face with tongue"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f61c.png"" title=""Winking face with tongue""/></p>";"[]";"[]";False;"[]";"";0;0;0;False;True;"1220704384385839104";"[{'screen_name': 'RadioElshinta', 'user_id': '121640063'}]"
"CakL1571";"Sewu Sangang'atus Pitu Likur";"1108261713646739456";"1221209390553808897";"/CakL1571/status/1221209390553808897";"2020-01-25 23:13:02";1579993982;"Sebenarnya Jakarta ini ada penduduknya gak sich..??
Klo memang Jkt ada warganya.. ada masyarakatnya.. ada penduduknya.. kenapa pada diam sj klo Jakarta dihancurkan oleh Gabener 4nies Sang Manipulator.. 
Banjir berlarut-larut tdk surut"".. Pohon"" di Monas digunduli..";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Sebenarnya <strong>Jakarta</strong> ini ada penduduknya gak sich..??
Klo memang Jkt ada warganya.. ada masyarakatnya.. ada penduduknya.. kenapa pada diam sj klo <strong>Jakarta</strong> dihancurkan oleh Gabener 4nies Sang Manipulator.. 
<strong>Banjir</strong> berlarut-larut tdk surut"".. Pohon"" di Monas digunduli..</p>";"[]";"[]";False;"[]";"";2;0;0;False;True;"1221062973101203457";"[{'screen_name': 'Parapat_Nixon', 'user_id': '979521074227367936'}]"
"KompasTV";"KOMPAS TV";"71436318";"1221209021178187776";"/KompasTV/status/1221209021178187776";"2020-01-25 23:11:34";1579993894;"[VIDEO] Pemprov DKI Jakarta Siapkan 478 Pompa Untuk Antisipasi Banjir http://dlvr.it/RNlhy3 pic.twitter.com/ffBPmnxGUY";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">[VIDEO] Pemprov DKI <strong>Jakarta</strong> Siapkan 478 Pompa Untuk Antisipasi <strong>Banjir</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://dlvr.it/RNlhy3"" dir=""ltr"" href=""https://t.co/RuKOqYVVmJ"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/RNlhy3""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/RNlhy3</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ffBPmnxGUY"">pic.twitter.com/ffBPmnxGUY</a></p>";"['http://dlvr.it/RNlhy3']";"[]";True;"['https://pbs.twimg.com/media/EPKbIZ5UwAEAyeZ.jpg']";"";3;1;0;False;False;"";"[]"
